userid,EER,AUC
1,0.0641509433962264,0.9855974842767296
2,0.3411949685534591,0.7349685534591196
3,0.33003144654088046,0.7242767295597484
4,0.399685534591195,0.6317819706498952
5,0.23584905660377356,0.7561425576519917
6,0.4839622641509434,0.5712368972746331
7,0.12342767295597486,0.9339203354297694
8,0.344811320754717,0.7562473794549266
9,0.19638364779874215,0.911132075471698
10,0.46352201257861636,0.5839622641509434
11,0.1400943396226415,0.8616771488469601
12,0.3433962264150944,0.7572327044025157
13,0.00015723270440254344,0.9999580712788261
14,0.13223270440251572,0.9216561844863731
15,0.2586477987421384,0.8324947589098532
16,0.15062893081761003,0.9659748427672957
17,0.41635220125786165,0.6054297693920336
18,0.18930817610062892,0.940293501048218
19,0.3279874213836478,0.6583228511530399
20,0.13962264150943393,0.9275681341719078
21,0.13160377358490566,0.9055765199161425
22,0.4157232704402516,0.6336058700209642
23,0.2514150943396226,0.8222431865828093
24,0.06037735849056603,0.9930188679245283
25,0.46635220125786164,0.5911530398322851
26,0.1251572327044025,0.9748846960167714
27,0.534433962264151,0.49643605870020957
28,0.20676100628930819,0.8777148846960168
29,0.06037735849056603,0.9963522012578616
30,0.2716981132075472,0.710314465408805
31,0.18726415094339624,0.8702935010482181
32,0.13301886792452827,0.9716352201257862
33,0.27625786163522015,0.7385324947589098
34,0.08915094339622642,0.9879035639412999
35,0.1988993710691824,0.8188469601677149
36,0.07500000000000001,0.9642767295597484
37,0.1419811320754717,0.8778825995807128
38,0.13144654088050312,0.9271907756813418
39,0.28490566037735854,0.7486582809224319
40,0.5015723270440251,0.4839832285115304
41,0.1227987421383648,0.8791614255765199
42,0.20613207547169812,0.9253459119496855
43,0.20283018867924527,0.8775890985324947
44,0.09669811320754719,0.949685534591195
45,0.2770440251572327,0.8164779874213836
46,0.1462264150943396,0.9238784067085953
47,0.12138364779874213,0.9308385744234801
48,0.2550314465408805,0.8035010482180294
49,0.20455974842767297,0.8510587002096436
50,0.09732704402515725,0.8631236897274632
51,0.3426100628930817,0.6806918238993711
52,0.2545597484276729,0.8496855345911949
53,0.25613207547169814,0.849350104821803
54,0.18034591194968555,0.8066876310272536
