userid,EER,AUC
1,0.056918238993710686,0.9885744234800838
2,0.19654088050314464,0.8821174004192872
3,0.5325471698113207,0.5914255765199161
4,0.460062893081761,0.5728930817610063
5,0.20455974842767297,0.839622641509434
6,0.20047169811320756,0.8345492662473794
7,0.08066037735849058,0.9536058700209644
8,0.260062893081761,0.7699161425576521
9,0.05628930817610062,0.9877148846960166
10,0.3446540880503145,0.7279245283018868
11,0.1227987421383648,0.8972746331236896
12,0.1990566037735849,0.8322222222222223
13,0.054402515723270435,0.9910062893081761
14,0.27987421383647804,0.8558071278825996
15,0.12468553459119498,0.9467295597484275
16,0.18427672955974841,0.9176310272536686
17,0.5235849056603774,0.46331236897274636
18,0.09544025157232706,0.9324947589098532
19,0.13616352201257859,0.8412788259958072
20,0.0550314465408805,0.9836897274633123
21,0.05345911949685534,0.9244234800838574
22,0.43254716981132074,0.521027253668763
23,0.264937106918239,0.8143605870020965
24,0.07767295597484275,0.9858071278825995
25,0.3290880503144654,0.7436477987421384
26,0.06981132075471697,0.9833962264150944
27,0.4589622641509434,0.6022222222222222
28,0.0729559748427673,0.9149266247379455
29,0.008176100628930816,0.9984696016771489
30,0.3377358490566038,0.7251362683438154
31,0.1158805031446541,0.9081341719077567
32,0.06226415094339622,0.9929140461215933
33,0.15864779874213839,0.7914255765199161
34,0.07484276729559747,0.9855345911949686
35,0.04591194968553459,0.929433962264151
36,0.014465408805031443,0.9941299790356394
37,0.18506289308176102,0.8947169811320753
38,0.0778301886792453,0.9335849056603773
39,0.3278301886792453,0.7407337526205451
40,0.3476415094339622,0.6935849056603774
41,0.1962264150943396,0.8122012578616352
42,0.13128930817610063,0.960796645702306
43,0.14386792452830188,0.939811320754717
44,0.05849056603773584,0.9876939203354298
45,0.11981132075471697,0.9361844863731656
46,0.06540880503144653,0.9697274633123689
47,0.19544025157232706,0.8809014675052411
48,0.15534591194968553,0.8249266247379454
49,0.135062893081761,0.9009433962264151
50,0.1957547169811321,0.8917400419287211
51,0.2665094339622641,0.7826834381551362
52,0.12987421383647796,0.9087002096436059
53,0.16855345911949685,0.9061425576519915
54,0.21525157232704403,0.8668553459119496
