userid,EER,AUC
1,0.4655851083397712,0.5851451274693742
2,0.2122282308795939,0.793400286944046
3,0.45725269469889274,0.6303572085494611
4,0.20023544126843984,0.7155207298679322
5,0.24259647573851303,0.837508737078321
6,0.19070742743626531,0.8621197071699225
7,0.14363756759739543,0.9170437405731524
8,0.5248868778280543,0.5748077842769378
9,0.17281021226501858,0.8021557591141522
10,0.3680609204282088,0.6692050178420336
11,0.6011293823345474,0.5766839568848177
12,0.29492697641908544,0.7552146562189603
13,0.38312548283853876,0.6894014641503882
14,0.39699444505757275,0.6124048118309238
15,0.375234521575985,0.6136188058713167
16,0.3953206047897583,0.5783026156053417
17,0.2186844719125924,0.830703012912482
18,0.15559356951035574,0.9026597505794063
19,0.2304013537872935,0.8284221756244712
20,0.2442703160063275,0.8163925983151235
21,0.15511532943383732,0.9274178714637824
22,0.5243718500533421,0.5470330721406762
23,0.3857558032593901,0.6008902622962881
24,0.25622631791928785,0.8671596218224625
25,0.24953095684803003,0.8057241658389435
26,0.4579332671154766,0.5093624691903027
27,0.08126402530993634,0.9174484052532833
28,0.21509767133870436,0.8868778280542986
29,0.01315160210425631,0.9910238016407313
30,0.3049700180259721,0.7404995769414707
31,0.23805319501158814,0.8287532649082147
32,0.4956774454622374,0.4544752234852665
33,0.2891880955008645,0.6949196188794468
34,0.293253136151271,0.7191994996873046
35,0.13622484641136007,0.9628444248243387
36,0.20266342934922563,0.8029283007762205
37,0.2927748960747526,0.7755214656218961
38,0.48710591178309975,0.5714233160431151
39,0.1630062906963911,0.8892690284368907
40,0.14865908840083875,0.8717948717948718
41,0.16228893058161353,0.880292830077622
42,0.5540227347974838,0.4576757532281205
