userid,EER,AUC
1,0.14411580767391385,0.9539418018614576
2,0.07600338446823382,0.9581355994555422
3,0.06667770297612477,0.9895155060147887
4,0.08915498657249019,0.9493801272854357
5,0.07719898465952987,0.9913548909244748
6,0.05998234190486704,0.9925320972666739
7,0.014347202295552364,0.995475113122172
8,0.16348453077290953,0.9183313100099327
9,0.1579847698929478,0.8961483279991171
10,0.14674612809476512,0.920943236581687
11,0.08437258580730603,0.9672957363057793
12,0.0776772247360483,0.9850641945333479
13,0.06643858293786556,0.966670345436486
14,0.2208365522569253,0.8727881396461024
15,0.07815546481256666,0.9689879704226906
16,0.08078578523341792,0.9744325497553618
17,0.32170842070411654,0.8000588603171099
18,0.014825442372070785,0.9944450575727477
19,0.008608321377331418,0.9948865099510724
20,0.14865908840083875,0.9208696611852997
21,0.058786741713570984,0.9839237758893427
22,0.2323143140933672,0.8427693779200234
23,0.06859066328219846,0.9746164882463304
24,0.06667770297612477,0.9700548136703085
25,0.15607180958687417,0.9533164109921642
26,0.165158371040724,0.9363572821248574
27,0.07337306404738256,0.9748372144354929
28,0.23159695397858956,0.8855166832211309
29,0.0004782400765184214,0.999595335319869
30,0.06930802339697603,0.9685833057425597
31,0.005021520803443313,0.9964315932752087
32,0.14865908840083875,0.9015561196335944
33,0.21772799175955562,0.9362101313320825
34,0.32888202185189275,0.7655887871095906
35,0.016977522716403626,0.9948497222528786
36,0.141963727329581,0.954677555825332
37,0.08891586653423098,0.987860059596071
38,0.14722436817128354,0.9488650995107236
39,0.019129603060736466,0.9930839127395799
40,0.08030754515689956,0.9812382739212008
41,0.07289482397086414,0.9894419306184012
42,0.29086193576867897,0.84431446124416
