userid,EER,AUC
1,0.4729978295258066,0.6092778574844571
2,0.19118566751278374,0.8238972887466431
3,0.41373284773571717,0.6459551925836
4,0.391494684177611,0.5656108597285068
5,0.24140087554721704,0.852039877864842
6,0.16778869146157527,0.8889379391531472
7,0.1278556450722878,0.9210535996762683
8,0.3476989294779826,0.5251076040172167
9,0.23111871390207114,0.7938049516241769
10,0.21557591141522278,0.8968840819629916
11,0.5853474598094397,0.5672663061472244
12,0.293253136151271,0.7395063090902401
13,0.3267299415075599,0.6855019681418534
14,0.44334694478166503,0.6509767133870433
15,0.33147555457455025,0.7112165691792665
16,0.36471323989258,0.6317551410808225
17,0.2956443365338631,0.7629032851414489
18,0.13981164698524812,0.963469815693632
19,0.1935768678953758,0.85123054850458
20,0.21294559099437146,0.8308133760070633
21,0.16778869146157527,0.9567376669241806
22,0.5198285693264173,0.5721222823087959
23,0.28368833462090276,0.6598977301990214
24,0.24594415627414193,0.8607217746385608
25,0.22968399367251593,0.8975462605304786
26,0.4727587094875474,0.5298900047824008
27,0.13742044660265607,0.9288525916933378
28,0.2289666335577383,0.8508626715226428
29,0.05854762167531177,0.996284442482434
30,0.3028179376816393,0.7302358091454217
31,0.13502924622006401,0.8922488319905824
32,0.6109333039031748,0.520656292535776
33,0.21533679137696357,0.7730566898429165
34,0.2124673509178531,0.7561711363719972
35,0.09369826729941508,0.9617407938785271
36,0.177555825332009,0.819114887981459
37,0.346576904683074,0.7828054298642534
38,0.44884670566162677,0.5769782584703674
39,0.25192215723062206,0.8664606555567818
40,0.158223889931207,0.9027701136739874
41,0.15750652981642937,0.8809917963433028
42,0.5203068094029357,0.501195600191296
