userid,EER,AUC
1,0.5346540116984879,0.502391200382592
2,0.21151087076481626,0.7670970827355332
3,0.2535224221020491,0.6281315528087408
4,0.16802781149983448,0.7966743920832873
5,0.232075194055108,0.8331310009932678
6,0.21581503145348194,0.8318802192546813
7,0.2021851892727072,0.8955045432807269
8,0.581319206857227,0.5724349777434425
9,0.17113637199720416,0.8162270536732517
10,0.3838428429533164,0.647684214398705
11,0.5987381819519553,0.5696391126807195
12,0.2966008166868999,0.6839568848177169
13,0.38527756318287165,0.6629511091491006
14,0.40177684582275686,0.584924401280212
15,0.39197292425412944,0.6352683662583232
16,0.39269028436890707,0.5880513556266784
17,0.3035352977964169,0.7521796711179782
18,0.16085421035205827,0.8772946326748337
19,0.23661847478203288,0.8174778354118384
20,0.2891880955008645,0.7995806202405915
21,0.21294559099437146,0.8641614244196741
22,0.5293933708567855,0.5456351396093146
23,0.36901740058124566,0.5672111245999337
24,0.2526395173453997,0.8619725563771474
25,0.23805319501158814,0.8204392451164331
26,0.4627156678806607,0.4922010079829305
27,0.17233197218850016,0.842052017805246
28,0.2925357760364934,0.7995990140896885
29,0.08413346576904682,0.9594967442887099
30,0.33725122319096495,0.7199168598020822
31,0.29540521649560386,0.7968215428760623
32,0.5382408122723761,0.45546849133649714
33,0.44860758562336756,0.5972114924769157
34,0.368300040466468,0.6920501784203362
35,0.07982930508038114,0.9690799396681749
36,0.20648934996137294,0.7754294963764117
37,0.2997093771842696,0.7554169885590258
38,0.5494794540705588,0.4830592649817901
39,0.25216127726888127,0.8617150424897914
40,0.1630062906963911,0.8492808005003127
41,0.16396277084942795,0.8602067468638487
42,0.540392892616709,0.4891660228819482
