userid,EER,AUC
1,0.3150130596328588,0.7349078468160246
2,0.3704521208108009,0.6618474782032888
3,0.22008240444395394,0.6622153551852261
4,0.15081116874517164,0.8289372033991833
5,0.2253798329838502,0.8489497112165693
6,0.2335099142846632,0.821506088364051
7,0.16013685023728064,0.9203178457123938
8,0.31716513997719165,0.7382923150498473
9,0.1548762093955781,0.8211749990803076
10,0.5229371298237868,0.49273442960673947
11,0.5241327300150829,0.5949306551889048
12,0.4658242283780304,0.5770518338667548
13,0.3534745980943973,0.631166537909723
14,0.4608027075745871,0.5323547805613803
15,0.47156310929625134,0.4814038185630725
16,0.4708457491814737,0.4943163006290696
17,0.2186844719125924,0.890299083986315
18,0.3840819629915756,0.6539749107898319
19,0.16444101092594637,0.8654306000073576
20,0.21964095206562925,0.8577419710848692
21,0.30186145752860244,0.7922230806018468
22,0.5293933708567855,0.5596144649229298
23,0.316447779862414,0.6023985579222308
24,0.26316079902880474,0.8585880881433248
25,0.22753191332818304,0.8153993304638929
26,0.45219438619725566,0.4935437589670014
27,0.36638708016039434,0.6641283154912997
28,0.11518228304454992,0.9280432623330759
29,0.2980355369164551,0.7747489239598279
30,0.2999484972225288,0.7043004819188464
31,0.4466946253172939,0.6225582165323915
32,0.535849611889784,0.38472574770996576
33,0.45195526615899645,0.5827171393885884
34,0.32553434131626385,0.6876356546370893
35,0.09274178714637824,0.9399256888496487
36,0.2488135967332524,0.7743810469778907
37,0.2289666335577383,0.785012691755877
38,0.24929183680977082,0.7113269322738476
39,0.37356068130817055,0.6917190891365927
40,0.37356068130817055,0.650480079461428
41,0.2122282308795939,0.8134863701578192
42,0.29516609645734465,0.6534966707133135
