userid,EER,AUC
1,0.15033292866865322,0.8707648162454474
2,0.16013685023728064,0.8859213479012619
3,0.271530000367877,0.8827576058566016
4,0.2205974322186661,0.90082036566972
5,0.04706985983886988,0.9829305080381121
6,0.25192215723062206,0.8941250045984623
7,0.017455762792922047,0.9940403928926167
8,0.17301254460508406,0.8464849354375896
9,0.2980355369164551,0.818452709413972
10,0.16898429165287127,0.8971415958503476
11,0.14602876797998748,0.9359526174447266
12,0.07648162454475224,0.9590920796085789
13,0.1496155685538756,0.9056027664349041
14,0.3073612184085642,0.7733509914284663
15,0.1314424456461759,0.9194349409557445
16,0.09202442703160066,0.9459220836552257
17,0.19070742743626531,0.8327999117095244
18,0.07385130412390098,0.9819372401868816
19,0.05806938159879335,0.9948497222528787
20,0.15535444947209653,0.9469153515064562
21,0.06643858293786556,0.9774859287054409
22,0.48686679174484054,0.6213074347938049
23,0.2915792958834566,0.7616525034028622
24,0.056873781407497354,0.9247323694956405
25,0.08198138542471398,0.9581723871537358
26,0.28607953500349487,0.7509104955302945
27,0.05472170106316446,0.9664496192473236
28,0.15607180958687417,0.946400323731744
29,0.0028694404591104727,0.9986388551668322
30,0.16635397123202,0.8858109848066806
31,0.16444101092594637,0.9529117463120333
32,0.3128609792885259,0.721002096898797
33,0.16802781149983448,0.8599860206746863
34,0.31740426001545086,0.6909465474745244
35,0.08963322664900855,0.9820476032814627
36,0.14435492771217306,0.8968840819629916
37,0.06548210278482877,0.9924585218702865
38,0.16396277084942795,0.922672258396792
39,0.0186513629842181,0.9896258691093698
40,0.11422580289151307,0.9214582643563992
41,0.06978626347349445,0.9788838612368024
42,0.30879593863811944,0.7031232755766472
