userid,EER,AUC
1,0.13805031446540877,0.9320964360587002
2,0.4290880503144654,0.7016981132075472
3,0.08097484276729561,0.9806498951781971
4,0.16666666666666666,0.8489517819706498
5,0.3492138364779874,0.7366876310272538
6,0.41226415094339625,0.6986582809224319
7,0.14874213836477984,0.919664570230608
8,0.13113207547169808,0.9420964360587002
9,0.04716981132075471,0.9552410901467505
10,0.18836477987421382,0.8231656184486373
11,0.26289308176100634,0.7836268343815513
12,0.2683962264150943,0.8141928721174004
13,0.008176100628930816,0.9983438155136267
14,0.26792452830188684,0.7740461215932914
15,0.19952830188679246,0.9052620545073375
16,0.18993710691823898,0.8515303983228512
17,0.7885220125786163,0.25075471698113205
18,0.22028301886792453,0.9080712788259958
19,0.3959119496855346,0.7106079664570231
20,0.14669811320754716,0.9300838574423479
21,0.1393081761006289,0.9500000000000001
22,0.5437106918238994,0.49507337526205447
23,0.389937106918239,0.6921174004192872
24,0.125,0.9042976939203354
25,0.28317610062893084,0.7533752620545074
26,0.3836477987421384,0.6773584905660377
27,0.3205974842767295,0.748972746331237
28,0.19056603773584904,0.8444444444444444
29,0.05817610062893081,0.9951153039832284
30,0.39638364779874213,0.7372746331236897
31,0.2904088050314465,0.7777148846960168
32,0.2704402515723271,0.820943396226415
33,0.3929245283018868,0.5844654088050314
34,0.12672955974842764,0.9762054507337528
35,0.1511006289308176,0.8737316561844863
36,0.4207547169811321,0.5973165618448637
37,0.16981132075471697,0.8350943396226416
38,0.07059748427672957,0.9914255765199161
39,0.20455974842767297,0.8918867924528302
40,0.33364779874213835,0.7921593291404613
41,0.3227987421383648,0.761027253668763
42,0.15566037735849056,0.879538784067086
43,0.18081761006289307,0.8657861635220127
44,0.12955974842767293,0.9722851153039832
45,0.40141509433962264,0.6061635220125786
46,0.2007861635220126,0.8789727463312369
47,0.2150943396226415,0.8870440251572327
48,0.20927672955974844,0.820461215932914
49,0.32531446540880504,0.7877148846960168
50,0.11619496855345914,0.9152410901467505
51,0.20188679245283017,0.9233542976939203
52,0.33506289308176096,0.7471907756813417
53,0.20015723270440253,0.8422851153039832
54,0.34905660377358494,0.7485534591194969
