userid,EER,AUC
1,0.07248427672955976,0.9528930817610062
2,0.4139937106918239,0.6351781970649896
3,0.0759433962264151,0.9497274633123689
4,0.2825471698113208,0.7201677148846959
5,0.27421383647798736,0.7670020964360587
6,0.3306603773584905,0.710691823899371
7,0.345754716981132,0.7793920335429768
8,0.32389937106918243,0.7693920335429769
9,0.16666666666666663,0.9594339622641509
10,0.3441823899371069,0.6631236897274633
11,0.5415094339622641,0.5923689727463313
12,0.12201257861635219,0.930607966457023
13,0.06367924528301888,0.960188679245283
14,0.3227987421383648,0.6853039832285115
15,0.1281446540880503,0.9216771488469602
16,0.4372641509433962,0.6913626834381551
17,0.37845911949685535,0.6405241090146749
18,0.054088050314465404,0.9598322851153042
19,0.25801886792452833,0.7868553459119497
20,0.05927672955974845,0.9847589098532494
21,0.13160377358490566,0.9366666666666666
22,0.2825471698113208,0.7731656184486373
23,0.20754716981132074,0.7675890985324948
24,0.15345911949685534,0.8452410901467504
25,0.38757861635220126,0.6353039832285114
26,0.13459119496855343,0.8933333333333333
27,0.15833333333333335,0.8765618448637317
28,0.1979559748427673,0.8747169811320754
29,0.13223270440251575,0.8629350104821802
30,0.3207547169811321,0.8480083857442349
31,0.05786163522012578,0.9872746331236897
32,0.43852201257861634,0.6749266247379455
33,0.2672955974842768,0.749748427672956
34,0.264937106918239,0.9052830188679245
35,0.4207547169811321,0.7166457023060797
36,0.2790880503144654,0.8193081761006289
37,0.42295597484276726,0.7279874213836477
38,0.2621069182389937,0.8403983228511531
39,0.41650943396226414,0.6653249475890985
40,0.14968553459119494,0.9254088050314465
41,0.3311320754716981,0.6313207547169811
42,0.21477987421383646,0.8903983228511528
43,0.2583333333333333,0.7553249475890985
44,0.0490566037735849,0.9526205450733752
45,0.4231132075471698,0.5381132075471697
46,0.19150943396226414,0.8884276729559749
47,0.19355345911949687,0.8869811320754716
48,0.17342767295597486,0.8382389937106918
49,0.21037735849056602,0.9123270440251572
50,0.21871069182389938,0.8966666666666665
51,0.1407232704402516,0.849350104821803
52,0.2122641509433962,0.8026624737945492
53,0.3709119496855346,0.650670859538784
54,0.18333333333333332,0.7207966457023061
