userid,EER,AUC
1,0.2699685534591195,0.7892662473794549
2,0.1888364779874214,0.8783857442348009
3,0.14072327044025157,0.9240251572327043
4,0.2555031446540881,0.789853249475891
5,0.21242138364779875,0.890503144654088
6,0.27610062893081766,0.7932704402515723
7,0.14088050314465406,0.9478406708595388
8,0.1957547169811321,0.8826624737945492
9,0.003301886792452857,0.9977568134171908
10,0.20267295597484278,0.8844234800838574
11,0.31006289308176105,0.8040251572327044
12,0.27279874213836475,0.8421383647798742
13,0.07798742138364778,0.9413207547169811
14,0.3566037735849057,0.6365408805031446
15,0.012893081761006286,0.9955345911949685
16,0.13301886792452827,0.9311530398322851
17,0.6078616352201258,0.4574213836477987
18,0.07908805031446542,0.9784067085953878
19,0.06399371069182391,0.9731865828092243
20,0.12264150943396225,0.9649475890985324
21,0.1369496855345912,0.9422012578616352
22,0.33317610062893077,0.7020335429769391
23,0.18852201257861637,0.8888259958071278
24,0.0751572327044025,0.969035639412998
25,0.3314465408805032,0.7459958071278826
26,0.10220125786163521,0.929706498951782
27,0.14261006289308176,0.9483647798742139
28,0.2855345911949686,0.8583018867924528
29,0.14921383647798742,0.9717190775681341
30,0.19433962264150942,0.870733752620545
31,0.13396226415094337,0.9719706498951781
32,0.13286163522012578,0.929664570230608
33,0.1838050314465409,0.90104821802935
34,0.05424528301886795,0.9851991614255765
35,0.13349056603773585,0.9550314465408805
36,0.08160377358490567,0.9663102725366876
37,0.1273584905660377,0.9325995807127883
38,0.14732704402515723,0.9587211740041929
39,0.2754716981132076,0.8479874213836478
40,0.19999999999999998,0.8735639412997904
41,0.20864779874213837,0.8577148846960168
42,0.05125786163522012,0.9949266247379455
43,0.13380503144654088,0.9129769392033543
44,0.05597484276729559,0.9928721174004194
45,0.2688679245283019,0.7911740041928721
46,0.18584905660377357,0.880524109014675
47,0.13962264150943393,0.9357442348008386
48,0.08003144654088051,0.9566666666666666
49,0.038364779874213835,0.9763731656184487
50,0.06745283018867926,0.9848427672955974
51,0.11808176100628932,0.949643605870021
52,0.04339622641509434,0.9878825995807127
53,0.20015723270440253,0.8713836477987421
54,0.13286163522012578,0.9161215932914045
